eid,anio,posicion_autor,n_autores_total,nombre_en_fuente,clave_normalizada,clave_apellido,afiliacion_declarada_raw,unidad_academica_raw,unidad_academica,metodo_blando,metodo_duro_publicacion,confianza
2-s2.0-85191716936,2024,3,8,Fuentes-Abarca A.,fuentes abarca a,fuentesabarca,"Escuela de Medicina, Universidad Finis Terrae, Santiago, 7501015, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85191716936,2024,4,8,Aravena-Ríos P.,aravena rios p,aravenarios,"Escuela de Medicina, Universidad Finis Terrae, Santiago, 7501015, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85196542544,2024,2,19,Landskron G.,landskron g,landskron,"Center of Biomedical Research (CIBMED), School of Medicine, Faculty of Medicine-Clínica Las Condes, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85196542544,2024,8,19,Araneda C.,araneda c,araneda,"Innate Immunity Laboratory, Immunology Program, Faculty of Medicine, Universidad de Chile, Santiago, Chile, Center of Biomedical Research (CIBMED), School of Medicine, Faculty of Medicine-Clínica Las Condes, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85196542544,2024,9,19,Romero C.,romero c,romero,"Center of Biomedical Research (CIBMED), School of Medicine, Faculty of Medicine-Clínica Las Condes, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85196542544,2024,10,19,Domínguez A.,dominguez a,dominguez,"Center of Biomedical Research (CIBMED), School of Medicine, Faculty of Medicine-Clínica Las Condes, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85196542544,2024,11,19,Vásquez G.,vasquez g,vasquez,"Innate Immunity Laboratory, Immunology Program, Faculty of Medicine, Universidad de Chile, Santiago, Chile, Center of Biomedical Research (CIBMED), School of Medicine, Faculty of Medicine-Clínica Las Condes, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85196542544,2024,16,19,Balboa E.,balboa e,balboa,"Center of Biomedical Research (CIBMED), School of Medicine, Faculty of Medicine-Clínica Las Condes, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85196542544,2024,19,19,De la Fuente López M.,de la fuente lopez m,dela,"Center of Biomedical Research (CIBMED), School of Medicine, Faculty of Medicine-Clínica Las Condes, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105021462010,2025,3,4,Lopez-Arana S.,lopez arana s,lopezarana,"School of Nutrition and Dietetics, Faculty of Medicine, Finis Terrae University, Providencia, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105011706421,2025,4,11,Cancino-López J.,cancino lopez j,cancinolopez,"Exercise Physiology and Metabolism Laboratory, School of Kinesiology, Universidad Finis Terrae, Santiago, 7501015, Chile",School of Kinesiology,Escuela de Kinesiología,True,True,alta
2-s2.0-85193826870,2024,4,7,Fernández-Verdejo R.,fernandez verdejo r,fernandezverdejo,"Pennington Biomedical Research Center, Louisiana State University, Baton Rouge, LA, United States, Laboratorio de Fisiología Del Ejercicio y Metabolismo (LABFEM), Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85193826870,2024,5,7,Tuñón-Suárez M.,tunon suarez m,tunonsuarez,"Laboratorio de Fisiología Del Ejercicio y Metabolismo (LABFEM), Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105014129804,2025,7,8,Mujika I.,mujika i,mujika,"Department of Physiology, Faculty of Medicine and Nursing, University of the Basque Country, Basque Country, Leioa, Spain, Exercise Science Laboratory, School of Kinesiology, Faculty of Medicine, Universidad Finis Terrae, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85219409688,2025,3,5,Hevia D.,hevia d,hevia,"Center for Studies and Innovation in Dentistry, Facultad de Odontología, Universidad Finis Terrae, Santiago, Chile",Facultad de Odontología,Facultad de Odontología,True,True,alta
2-s2.0-85190753457,2024,3,6,Díaz F.,diaz f,diaz,"Red Colaborativa Pediátrica de Latinoamérica (LARed Network), Montevideo, Uruguay, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105009803214,2025,1,4,Cruz D.H.-D.L.,cruz dh dl,cruzdh,"Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85176452294,2024,1,3,Ortiz-Orellana G.,ortiz orellana g,ortizorellana,"School of Medicine, Universidad Finis Terrae, Santiago, Chile",School of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85176452294,2024,2,3,Ferreira-Wortsman C.,ferreira wortsman c,ferreirawortsman,"School of Medicine, Universidad Finis Terrae, Santiago, Chile",School of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85203074360,2024,2,6,Gómez Barbieri G.,gomez barbieri g,gomezbarbieri,"Medical School, Finis Terrae University, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-85203074360,2024,6,6,Soto M.,soto m,soto,"Faculty of Medicine, Finis Terrae University, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85206800319,2024,2,3,Cortina A.H.,cortina ah,cortinaah,"Escuela de Enfermería, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85206800319,2024,3,3,Soto-Suazo M.,soto suazo m,sotosuazo,"Secretario Ejecutivo Asociación de Facultades de Medicina de Chile (ASOFAMECH), Dirección de Investigación y Doctorado, Vicerrectoría de Investigación, Creación Artística y Doctorado, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105001686445,2025,1,13,Henríquez-Olguín C.,henriquez olguin c,henriquezolguin,"August Krogh Section for Human and Molecular Physiology, Department of Nutrition, Exercise and Sports, Faculty of Science, University of Copenhagen, Denmark, Exercise Science Laboratory, Faculty of Medicine, Universidad Finis Terrae, Av. Pedro de Valdivia 1509, Santiago, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85198527349,2025,4,6,Strauss F.-J.,strauss f j,strauss,"Clinic of Reconstructive Dentistry, University of Zurich, Zurich, Switzerland, Faculty of Dentistry, Universidad Finis Terrae, Santiago, Chile",Faculty of Dentistry,Facultad de Odontología,True,True,alta
2-s2.0-105014314090,2025,1,6,Hidalgo M.,hidalgo m,hidalgo,"Facultad de Ingeniería, Universidad Finis Terrae, Providencia, 7501014, Chile",Facultad de Ingeniería,Facultad de Ingeniería,True,True,alta
2-s2.0-105014314090,2025,2,6,Yanine F.,yanine f,yanine,"Facultad de Ingeniería, Universidad Finis Terrae, Providencia, 7501014, Chile",Facultad de Ingeniería,Facultad de Ingeniería,True,True,alta
2-s2.0-105014314090,2025,3,6,Galleguillos R.,galleguillos r,galleguillos,"Facultad de Ingeniería, Universidad Finis Terrae, Providencia, 7501014, Chile",Facultad de Ingeniería,Facultad de Ingeniería,True,True,alta
2-s2.0-105014314090,2025,6,6,Paredes R.,paredes r,paredes,"Facultad de Ingeniería, Universidad Finis Terrae, Providencia, 7501014, Chile",Facultad de Ingeniería,Facultad de Ingeniería,True,True,alta
2-s2.0-105004779394,2025,2,6,Strauss F.J.,strauss fj,straussfj,"Clinic of Reconstructive Dentistry, Center for Dental Medicine, University of Zurich, Zurich, Switzerland, Center for Studies and Innovation in Dentistry, Faculty of Dentistry, Universidad Finis Terrae, Santiago, Chile",Faculty of Dentistry,Facultad de Odontología,True,True,alta
2-s2.0-105004886970,2025,1,3,Hidalgo M.,hidalgo m,hidalgo,"Universidad Finis Terrae, Chile",,No determinada,True,True,alta
2-s2.0-105006560342,2025,4,7,Balboa E.,balboa e,balboa,"Center for Biomedical Research, Universidad Finis Terrae, Santiago, 7501015, Chile",,No determinada,True,True,alta
2-s2.0-105001585427,2025,3,3,Yanine F.F.,yanine ff,yanineff,"Faculty of Engineering, Universidad Finis Terrae, Providencia, Santiago, Chile",Faculty of Engineering,Facultad de Ingeniería,True,True,alta
2-s2.0-105003732653,2025,1,4,Franchello M.,franchello m,franchello,"Servicio de Neurología, Hospital Ángel C, Padilla, Tucumán, Argentina, Servicio de Neurología, Clínica las Condes, Santiago, Chile, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85170255103,2024,4,5,Fernández-Verdejo R.,fernandez verdejo r,fernandezverdejo,"Laboratorio de Fisiología Del Ejercicio y Metabolismo (LABFEM), Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile, Pennington Biomedical Research Center, Baton Rouge, LA, United States",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105034890639,2025,1,4,Bustos-Arriagada E.,bustos arriagada e,bustosarriagada,"Facultad de Medicina, Escuela de Nutrición y Dietética, Universidad Finis Terrae, Santiago, Chile",Escuela de Nutrición y Dietética,Escuela de Nutrición y Dietética,True,True,alta
2-s2.0-105034890639,2025,2,4,López-Arana S.,lopez arana s,lopezarana,"Facultad de Medicina, Escuela de Nutrición y Dietética, Universidad Finis Terrae, Santiago, Chile",Escuela de Nutrición y Dietética,Escuela de Nutrición y Dietética,True,True,alta
2-s2.0-105034890639,2025,4,4,Castillo-Valenzuela O.,castillo valenzuela o,castillovalenzuela,"Facultad de Medicina, Escuela de Nutrición y Dietética, Universidad Finis Terrae, Santiago, Chile",Escuela de Nutrición y Dietética,Escuela de Nutrición y Dietética,True,True,alta
2-s2.0-85197415065,2024,1,3,Hidalgo M.,hidalgo m,hidalgo,"DII Universidad Técnica Federico Santa María, Santiago, Chile, FDI Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105020835214,2025,2,11,Orellana-Donoso M.,orellana donoso m,orellanadonoso,"Department of Morphology, Faculty of Medicine, Universidad Andres Bello, Santiago, Chile, Escuela de Medicina, Universidad Finis Terrae, Santiago, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105019339045,2025,2,17,De la Fuente López M.,de la fuente lopez m,dela,"Innate Immunity Laboratory, Immunology Program, Biomedical Sciences Institute, Faculty of Medicine, Universidad de Chile, Santiago, Chile, Center of Biomedical Research (CIBMED), School of Medicine UFT-CLC, Universidad Finis Terrae, Santiago, Chile",School of Medicine UFT-CLC,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105023693720,2025,2,2,Arenas-Massa A.,arenas massa a,arenasmassa,"Faculty of Law, Finis Terrae University, Santiago, Chile",Faculty of Law,Facultad de Derecho,True,True,alta
2-s2.0-86000364846,2025,5,11,Fuentealba J.M.,fuentealba jm,fuentealbajm,"Escuela de Medicina, Universidad Finis Terrae, Santiago, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105007015111,2024,1,4,Verdugo F.J.,verdugo fj,verdugofj,"Hospital del Salvador, Santiago, Chile, Universidad Finis Terrae, Santiago, Chile",,No determinada,True,True,alta
2-s2.0-105015841990,2025,7,12,Orellana-Donoso M.,orellana donoso m,orellanadonoso,"Department of Morphological Sciences, Faculty of Medicine and Science, Universidad San Sebastián, Santiago, 7510157, Chile, Escuela de Medicina, Universidad Finis Terrae, Santiago, 7501015, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85204418067,2024,2,6,Orellana-Donoso M.,orellana donoso m,orellanadonoso,"Escuela de Medicina, Universidad Finis Terrae, Santiago, Chile",Escuela de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85197877445,2024,5,5,Mariotti-Celis M.S.,mariotti celis ms,mariotticelis,"School of Nutrition and Dietetics, Faculty of Medicine, Universidad Finis Terrae, Santiago, 7501015, Chile",Faculty of Medicine,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105007197288,2025,1,1,Kobayashi M.A.,kobayashi ma,kobayashima,"Universidad Finis Terrae, Chile",,No determinada,True,True,alta
2-s2.0-105008897804,2025,1,4,Carriel-Nesvara A.,carriel nesvara a,carrielnesvara,"Laboratorio de Fisiología del Ejercicio y Metabolismo (LABFEM), Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile, Institute of Neuroscience, UCLouvain, Ottignies-Louvain-la-Neuve, Belgium",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105008897804,2025,2,4,Muñoz-Medina C.,munoz medina c,munozmedina,"Laboratorio de Fisiología del Ejercicio y Metabolismo (LABFEM), Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile, Institute of Neuroscience, UCLouvain, Ottignies-Louvain-la-Neuve, Belgium",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-105008897804,2025,4,4,Castro-Sepulveda M.,castro sepulveda m,castrosepulveda,"Laboratorio de Fisiología del Ejercicio y Metabolismo (LABFEM), Escuela de Kinesiología, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
2-s2.0-85212306111,2024,1,2,Díaz Rubio F.,diaz rubio f,diazrubio,"Unidad de Paciente Crítico Pediátrico, Hospital El Carmen de Maipú, Santiago, Chile, Unidad de Investigación y Epidemiología Clínica, Facultad de Medicina, Universidad Finis Terrae, Santiago, Chile, LaRED Network, Colombia",Facultad de Medicina,Facultad de Medicina y Salud,True,True,alta
