indice,seccion,anio,titulo,primer_autor,autor_correspondencia,autor_uft,doi,en_universo_scopus,eid_scopus,anio_scopus
#086,Escuela de Medicina,2024,Association between the Anatomical Location of Glioblastoma and Its Evaluation with Clinical Considerations: A Systematic Review and Meta-Analysis,,,,10.3390/jcm13123460,True,2-s2.0-85197149301,2024.0
#087,Escuela de Medicina,2024,Hypoplastic and Congenital Absence of Coronary Arteries and Its Correlation with Clinical Implications of Cardiac Circulation: A Systematic Review and Meta-Analysis,,,,10.3390/jcm13113085,True,2-s2.0-85195795525,2024.0
#088,Escuela de Medicina,2024,The Association between Anatomical Variants of Musculoskeletal Structures and Nerve Compressions of the Lower Limb: A Systematic Review and Meta-Analysis,,,,10.3390/diagnostics14070695,True,2-s2.0-85190275980,2024.0
#089,Escuela de Medicina,2024,Anatomy of vertebral artery hypoplasia and its relationship with clinical implications: a systematic review and meta-analysis of prevalence,,,,10.1007/s00276-024-03377-y,True,2-s2.0-85193467121,2024.0
#090,Escuela de Medicina,2024,Ultrasound Pattern of Cutis Verticis Gyrata,,,,10.1002/jum.16373,True,2-s2.0-85176452294,2024.0
#091,Escuela de Medicina,2024,Ultrasonography of Facial and Submandibular Hidradenitis Suppurativa and Concomitance With Acne Vulgaris,,,,10.1002/jum.16526,True,2-s2.0-85198626239,2024.0
#092,Escuela de Medicina,2024,American Society for Transplantation and Cellular Therapy International Affairs Committee: Report of the 4th Workshop on Quality as a Development Tool for Hematopoietic Cell Transplantation Programs at the 2023 Tandem BMT Meetings,,,,10.1016/j.jtct.2024.02.011,True,2-s2.0-85186319082,2024.0
#093,Escuela de Medicina,2024,Percepción de estudiantes de Medicina sobre curso híbrido de Traumatología y Ortopedia post pandemia COVID-19. Estudio transversal en Chile,,,,10.1016/j.rmclc.2024.05.012,True,2-s2.0-85201500956,2024.0
#094,Escuela de Medicina,2024,Role of NLRP3 Inflammasome in Heart Failure Patients Undergoing Cardiac Surgery as a Potential Determinant of Postoperative Atrial Fibrillation and Remodeling: Is SGLT2 Cotransporter Inhibition an Alternative for Cardioprotection?,,,,10.3390/antiox13111388,True,2-s2.0-85210267275,2024.0
#095,Escuela de Medicina,2024,Amelioration of morphine withdrawal syndrome by systemic and intranasal administration of mesenchymal stem cell-derived secretome in preclinical models of morphine dependence.,,,,10.1111/cns.14517,False,,
#096,Escuela de Medicina,2024,The general practitioner’s role in wound management,,,,10.35279/jowm2024.25.03.04,True,2-s2.0-85210445194,2024.0
#097,Escuela de Medicina,2024,Artificial intelligence in diagnosing upper limb musculoskeletal disorders: a systematic review and meta-analysis of diagnostic tests,,,,10.1530/eor-23-0174,True,2-s2.0-85190693898,2024.0
#098,Escuela de Medicina,2024,"Automated and Interpretable Detection of Hippocampal Sclerosis in Temporal Lobe Epilepsy: AID-HS Ripart, Mathilde",,,,10.1002/ana.27089,True,2-s2.0-85209077922,2025.0
#099,Escuela de Medicina,2024,Neurocognitive correlates of semantic memory navigation in Parkinson’s disease,,,,10.1038/s41531-024-00630-4,True,2-s2.0-85181891137,2024.0
#100,Escuela de Medicina,2024,Author Correction: Neurocognitive correlates of semantic memory navigation in Parkinson’s disease (npj Parkinson’s Disease,,,,10.1038/s41531-024-00630-4,True,2-s2.0-85181891137,2024.0
#101,Escuela de Medicina,2024,Placing engineering in the earthquake response and the survival chain,,,,10.1038/s41467-024-48624-3,True,2-s2.0-85193789492,2024.0
#102,Escuela de Medicina,2024,Modeling hospital resources based on global epidemiology after earthquake-related disasters,,,,10.1177/87552930241262788,True,2-s2.0-85202889574,2024.0
#103,Escuela de Medicina,2024,Patrones radiológicos en enfermedades pulmonares intersticialesRadiological patterns in interstitial lung diseases,,,,10.1016/j.rmclc.2024.05.003,True,2-s2.0-85201364254,2024.0
#104,Escuela de Medicina,2024,Clinical course of atypical parathyroid neoplasm with soft tissue extension,,,,10.1002/jso.27829,True,2-s2.0-85201423875,2024.0
#105,Escuela de Medicina,2024,Severe menopausal symptoms linked to cognitive impairment: an exploratory study,,,,10.1097/gme.0000000000002422,True,2-s2.0-85201395771,2024.0
#106,Escuela de Medicina,2024,Association of muscle disorders in late postmenopausal women according to the type of experienced menopause,,,,10.1097/gme.0000000000002367,True,2-s2.0-85197356033,2024.0
#107,Escuela de Medicina,2024,2024 SIAC guidelines on cardiorespiratory rehabilitation in pediatric patients with congenital heart disease,,,,10.1016/j.recesp.2024.02.017,True,2-s2.0-85190807889,2024.0
#108,Escuela de Medicina,2024,Surgical Mortality in Pediatric Congenital Heart Surgery: 10-Year Experience in a Chilean Cardiac Surgery Center.,,,,10.25107/2474-1647.3687,False,,
#109,Escuela de Medicina,2024,"Clinical Characteristics Associated with the PLP-PLS Index, a New Potential Metric to Phenotype Phantom Limb Pain",,,,10.3390/biomedicines12092035,True,2-s2.0-85205043671,2024.0
#110,Escuela de Medicina,2024,Generalities of the physiology of extracorporeal oxygenation (ECMO): Understanding through comparison [Generalidades de fisiología de la oxigenación extracorpórea (ECMO): entendiendo desde la comparación],,,,10.1016/j.rmclc.2023.11.004,True,2-s2.0-85184615443,2024.0
#111,Escuela de Medicina,2024,Immune checkpoint inhibitors in early-stage non-small cell lung cancer: New standard of care? [Inhibidores del punto de control inmune en cáncer pulmonar de células no pequeñas en etapa temprana: ¿Nuevo estándar de tratamiento?],,,,10.1016/j.rmclc.2024.03.005,True,2-s2.0-85189700511,2024.0
#112,Escuela de Medicina,2024,[Impact of active methodologies on the learning strategies of first-year healthcare students at Finis Terrae University] Impacto de las metodologías activas en las estrategias de aprendizaje de estudiantes del área de la salud de primer año en la Universidad Finis Terrae,,,,10.1016/j.rmclc.2024.02.004,True,2-s2.0-85208582406,2024.0
#113,Escuela de Medicina,2024,Appendicular Peritonitis Related to Burkitt Lymphoma: Case Report,,,,,False,,
#114,Escuela de Medicina,2024,Tamizaje de cáncer colorrectal: pruebas emergentes no invasivas [Colorectal cancer screening: emerging non-invasive tests],,,,10.1016/j.rmclc.2024.03.006,True,2-s2.0-85189513161,2024.0
#001,Escuela de Medicina,2023,A blinking focal pattern of re-entrant activity in the avian tectum,,,,10.1016/j.cub.2022.10.070,True,2-s2.0-85145697726,2023.0
#002,Escuela de Medicina,2023,A Nomogram for Relapse/Death and Contemplating Adjuvant Therapy for Parathyroid Carcinoma,,,,,False,,
#003,Escuela de Medicina,2023,Anatomical variations and abnormalities of the maxillary region and clinical implications: A systematic review and metaanalysis,,,,10.1097/md.0000000000034510,True,2-s2.0-85172425933,2023.0
#004,Escuela de Medicina,2023,Association between Acute Respiratory Distress Syndrome Due to COVID-19 and Long-Term Sleep and Circadian Sleep–Wake Disorders,,,,10.3390/jcm12206639,True,2-s2.0-85175374062,2023.0
#005,Escuela de Medicina,2023,BDNF and Cognitive Function in Chilean Schizophrenic Patients,,,,10.3390/ijms241310569,True,2-s2.0-85164923317,2023.0
#006,Escuela de Medicina,2023,Bronchodilator Response in FEF25-75 for the Diagnosis of Asthma in Children,,,,,False,,
#007,Escuela de Medicina,2023,Can Ultrasound Examinations Generate Pain in Hidradenitis Suppurativa Patients? Results from a Multicentric Cross-Sectional Study,,,,10.1159/000526537,True,2-s2.0-85139715653,2023.0
#008,Escuela de Medicina,2023,"Capnometry after an inspiratory breath hold, PLATCO2, as a surrogate for in mild to moderate pediatric acute respiratory distress syndrome: A feasibility study",,,,10.1002/ppul.26610,True,2-s2.0-85168588193,2023.0
#009,Escuela de Medicina,2023,Clinical Concepts for Triple Therapy Use in Patients with COPD: A Delphi Consensus,,,,10.2147/copd.s424128,True,2-s2.0-85169649150,2023.0
#010,Escuela de Medicina,2023,Commentary: Functional bowel complaints and the impact on quality of life after colorectal cancer surgery in the elderly,,,,,False,,
#011,Escuela de Medicina,2023,Correction to: Ultrasound evaluation of a new surface reference line to describe sural nerve location and safe zones to consider in posterior leg approaches,,,,10.1007/s00167-023-07323-0,True,2-s2.0-85148039285,2023.0
#012,Escuela de Medicina,2023,Correction: Obesity and brain structure in schizophrenia – ENIGMA study in 3021 individuals,,,,,False,,
#013,Escuela de Medicina,2023,Correction: Obesity and brain structure in schizophrenia – ENIGMA study in 3021 individuals,,,,,False,,
#014,Escuela de Medicina,2023,Country-level gender inequality is associated with structural differences in the brains of women and men,,,,,False,,
#015,Escuela de Medicina,2023,Differential diagnosis of vascular acrosyndromes [Diagnóstico diferencial de los acrosíndromes vasculares],,,,10.1016/j.piel.2023.03.012,True,2-s2.0-85171862350,2023.0
#016,Escuela de Medicina,2023,"Efficacy, Safety, and Pain Level of Subcutaneous Catheter Use for Administration of Granulocyte Colony-Stimulating Factor (G-CSF) in Children With Cancer: A Randomized Pilot Study",,,,10.1177/27527530231190373,True,2-s2.0-85175952760,2023.0
#017,Escuela de Medicina,2023,Effectiveness of alpha-lipoic acid in patients with neuropathic pain associated with type I and type II diabetes mellitus: A systematic review and meta-analysis,,,,10.1097/md.0000000000035368,True,2-s2.0-85176369256,2023.0
#018,Escuela de Medicina,2023,Effects of changes in trunk inclination on ventilatory efficiency in ARDS patients: quasi-experimental study,,,,10.1186/s40635-023-00550-2,True,2-s2.0-85172207120,2023.0
#019,Escuela de Medicina,2023,Evaluation of participants’ perception of an in situ simulation training program in an adult critical care center [Evaluación de la percepción de los participantes de un programa de entrenamiento con simulación in situ en un centro de paciente crítico adulto],,,,,False,,
#020,Escuela de Medicina,2023,Factors associated with prolonged mechanical ventilation in children with pulmonary failure: Cohort study from the LARed Network registry [Factores asociados a ventilación mecánica prolongada en niños con fallo respiratorio de causa pulmonar: Estudio de cohortes del registro de LARed Network],,,,10.1016/j.medin.2023.06.005,True,2-s2.0-85166301280,2024.0
#021,Escuela de Medicina,2023,Functional results and feasibility of a teleprehabilitation program in patients who are candidates for elective colorectal cancer surgery during the COVID-19 pandemic,,,,10.1111/ajco.13939,True,2-s2.0-85147288447,2024.0
#022,Escuela de Medicina,2023,Evaluación de un programa de simulación in situ en un centro de pacientes críticos desde la perspectiva de los participantes Evaluación de un programa de simulación de cuidados intensivos in situ desde la perspectiva de los participantes,,,,10.1016/j.rmclc.2023.03.009,True,2-s2.0-85160548641,2023.0
#023,Escuela de Medicina,2023,Intra and inter-individual variability in functional connectomes of patients with First Episode of Psychosis,,,,,False,,
#024,Escuela de Medicina,2023,Is the time below 90% of SpO2 during sleep (T90%) a metric of good health? A longitudinal analysis of two cohorts,,,,10.1007/s11325-023-02909-x,True,2-s2.0-85169302917,2024.0
#025,Escuela de Medicina,2023,Isolated Medial Patellofemoral Ligament Reconstruction in Patellar Instability: Does the Distance Between Tibial Tuberosity-Trochlear Groove Make a Difference?,,,,10.1007/s43465-023-00906-6,True,2-s2.0-85160233146,2023.0
#026,Escuela de Medicina,2023,Mechanics in pediatric acute respiratory distress syndrome associated to acute COVID-19 and MIS-C [Mecánica pulmonar en el síndrome de distrés respiratorio agudo pediátrico asociado a COVID-19 aguda y MIS-C],,,,10.32641/andespediatr.v94i3.4616,True,2-s2.0-85164586783,2023.0
#027,Escuela de Medicina,2023,Incidence and Clinical Implications of Anatomical Variations in the Pancreas and Its Ductal System: A Systematic Review and Meta-Analysis,,,,10.3390/life13081710,True,2-s2.0-85169073153,2023.0
#028,Escuela de Medicina,2023,"Macroagglutination as cause of death: when Virchow’s perfect storm strikes [Le Grand Mort: la tríada, o más bien orgía, de Virchow que acabó en muerte]",,,,10.1016/j.rmclc.2023.07.004,True,2-s2.0-85165942931,2023.0
#029,Escuela de Medicina,2023,Morphological Differences between Patient Self-inflicted and Ventilator-induced Lung Injury: An Experimental Study,,,,,False,,
#030,Escuela de Medicina,2023,Malla suburetral retropúbica (TVT): experiencia clínica y análisis de datos en el Hospital El Carmen de Maipú,,,,10.24875/rechog.23000036,True,2-s2.0-85179070817,2023.0
#031,Escuela de Medicina,2023,New morbidity following critical illness in Latin American children under 18 years old with lower respiratory tract infection [Nueva Morbilidad tras Enfermedad Crítica en Niños Latinoamericanos menores de 18 años con infección severa del tracto respiratorio inferior],,,,10.32641/andespediatr.v94i1.4273,True,2-s2.0-85148890400,2023.0
#032,Escuela de Medicina,2023,Noninvasive Ventilation for Pediatric Acute Respiratory Distress Syndrome: Experience From the 2016/2017 Pediatric Acute Respiratory Distress Syndrome Incidence and Epidemiology Prospective Cohort Study,,,,10.1097/pcc.0000000000003281,True,2-s2.0-85169848739,2023.0
#033,Escuela de Medicina,2023,Osteosynthesis of a patellar fracture with repair of the knee extensor mechanism: Case report,,,,10.1016/j.tcr.2023.100851,True,2-s2.0-85159892154,2023.0
#034,Escuela de Medicina,2023,Overnight extubation is not associated with extubation failure in pediatric intensive care unit patients: a retrospective cohort study [La extubación durante la noche no se asocia con su fracaso en pacientes pediátricos de Unidad de Cuidados Intensivos: Estudio de cohorte retrospectivo],,,,10.32641/andespediatr.v94i5.4583,True,2-s2.0-85174916359,2023.0
#035,Escuela de Medicina,2023,Plateau Pressure and Driving Pressure in Volume- and Pressure-Controlled Ventilation: Comparison of Frictional and Viscoelastic Resistive Components in Pediatric Acute Respiratory Distress Syndrome,,,,10.1097/pcc.0000000000003291,True,2-s2.0-85169848260,2023.0
#036,Escuela de Medicina,2023,Population well-being and the COVID-19 vaccination program in Chile: evidence from Google Trends,,,,,False,,
#037,Escuela de Medicina,2023,Post-COVID-19 syndrome in a sample of climacteric women living in Latin America,,,,10.1097/gme.0000000000002123,True,2-s2.0-85147046989,2023.0
#038,Escuela de Medicina,2023,Presentation of a new classification in abdominoplasty plications [Presentación de una nueva clasificación de plicaturas en abdominoplastia],,,,10.4321/s0376-78922023000200004,True,2-s2.0-85167666524,2023.0
#039,Escuela de Medicina,2023,Prevalence of the Bifid Mandibular Condyle and Its Relationship with Pathologies of the Temporomandibular Joint: A Systematic Review and Meta-Analysis,,,,10.3390/diagnostics13203282,True,2-s2.0-85175534452,2023.0
#040,Escuela de Medicina,2023,Neuronas espejo y sistemas neuronales asociados al aprendizaje clínico. Una revisión de la literatura,,,,10.35366/112734,False,,
#041,Escuela de Medicina,2023,Quantitative Susceptibility Mapping MRI in Deep-Brain Nuclei in First-Episode Psychosis,,,,10.1093/schbul/sbad041,True,2-s2.0-85172441471,2023.0
#042,Escuela de Medicina,2023,"Cruces, Pablo Díaz, Franco Reply to Perez",,,,10.1164/rccm.202303-0364le,True,2-s2.0-85159734220,2023.0
#043,Escuela de Medicina,2023,Prevalence and Clinical Consideration of Anatomical Variants of the Splenic Artery: A Systematic Review and Meta-Analysis,,,,,False,,
#044,Escuela de Medicina,2023,ROBOT Assisted Laparoscopic Surgeries For Nononcological Urologic Disease: Initial Experience With Hugo Ras System,,,,,False,,
#045,Escuela de Medicina,2023,Septic shock originating from a pulmonary focus caused by Pasteurella multocida. Report of one case [Shock séptico de foco respiratorio por Pasteurella multocida en un paciente inmunocompetente. Caso Clínico],,,,10.4067/s0034-98872023000100120,True,2-s2.0-85170692575,2023.0
#046,Escuela de Medicina,2023,Spanish version of the ICIQ-Bowel questionnaire among colorectal cancer patients: construct and criterion validity: Comprehensive assessment of bowel function,,,,10.1186/s12876-023-02970-6,True,2-s2.0-85173375904,2023.0
#047,Escuela de Medicina,2023,Teledermatology Evaluation and Feedback Systems: A Tool for Improving Care,,,,10.3390/healthcare11111626,True,2-s2.0-85163058875,2023.0
#048,Escuela de Medicina,2023,Results of prophylactic simple fasciocutaneous advancement in the initial management of acute ankle fractures with high risk of operative wound complication,,,,10.1016/j.fas.2023.09.002,True,2-s2.0-85171831612,2024.0
#049,Escuela de Medicina,2023,"The U-Shaped Association between Sleep Duration, All-Cause Mortality and Cardiovascular Risk in a Hispanic/Latino Clinically Based Cohort",,,,10.3390/jcm12154961,True,2-s2.0-85167685213,2023.0
#050,Escuela de Medicina,2023,Therapeutic Effects of WT1 Silencing via Respiratory Administration of Neutral DOPC Liposomal-siRNA in a Lung Metastasis Melanoma Murine Model,,,,,False,,
#051,Escuela de Medicina,2023,Survey on Spinal Injections for lumbar degenerative stenosis among spine surgeons in Latin America,,,,10.26502/fjsrs0065,False,,
#052,Escuela de Medicina,2023,"Systematic Review and Meta-Analysis: Recurrent Laryngeal Nerve Variants and Their Implication in Surgery and Neck Pathologies, Using the Anatomical Quality Assurance (AQUA) Checklist",,,,,False,,
#053,Escuela de Medicina,2023,Ultrasound Pattern of Cutis Verticis Gyrata,,,,10.1002/jum.16373,True,2-s2.0-85176452294,2024.0
#054,Escuela de Medicina,2023,The Akin osteotomy without fixation in open hallux abducto-valgo correction surgery-A single center retrospective analysis of 286 cases,,,,,False,,
#055,Escuela de Medicina,2023,"Update on topical corticosteroids: Classification, clinical use, and adverse effects [Actualización terapéutica en corticoesteroides tópicos: clasificación, usos clínicos y efectos colaterales]",,,,10.1016/j.piel.2022.10.006,False,,
#056,Escuela de Medicina,2023,Uso de impresión 3D en planificación preoperatoria de osteotomía por coalición metatarsiana: reporte de un caso,,,,10.1016/j.rmclc.2023.08.004,True,2-s2.0-85172181917,2023.0
#057,Escuela de Medicina,2023,Vitamin D and cutaneous pathologies [Vitamina D y enfermedades de la piel],,,,10.1016/j.piel.2023.07.002,True,2-s2.0-85174710743,2024.0
#058,Escuela de Medicina,2023,Acute monophasic disseminated encephalomyelitis due to enterococcus faecalis. Discussion of a case not described in the literature.,,,,,False,,
#059,Escuela de Medicina,2023,Prevalence and treatment of asthma in adults: descriptive analysis of the Chilean National Health Survey 2016-2017,,,,10.4067/s0717-73482023000300233,False,,
#060,Escuela de Medicina,2023,The Possible Role of Matrix Metalloprotienase-2 in the Relapse in Patients with Stage II Colon Cancer Treated by Curative Surgery,,,,10.31557/apjcp.2023.24.10.3373,True,2-s2.0-85175278794,2023.0
#061,Escuela de Medicina,2023,Antibiotic-Resistant Bacteria in Environmental Water Sources from Southern Chile: A Potential Threat to Human Health,,,,10.3390/microbiolres14040121,True,2-s2.0-85180712015,2023.0
#062,Escuela de Medicina,2023,Probable coinfection of andes hantavirus and legionella in a critically ill patient: First description of a case in the literature and literature review [Probable coinfección por hantavirus variante Andes y Legionella en un paciente crítico: primera descripción en la literatura de un caso y revisión de la literatura],,,,10.1016/j.rmclc.2023.09.009,True,2-s2.0-85178463650,2023.0
#063,Escuela de Medicina,2023,Retropubic suburethral mesh (TVT): clinical experience and data analysis at the Hospital El Carmen de Maipú [Malla suburetral retropúbica (TVT): experiencia clínica y análisis de datos en el Hospital El Carmen de Maipú],,,,10.24875/rechog.23000036,True,2-s2.0-85179070817,2023.0
#064,Escuela de Medicina,2023,Tumor-like presentation of herpetic cervicitis: A case report,,,,,False,,
#065,Escuela de Medicina,2023,"Wound drain in lumbar arthrodesis for degenerative disease: an experimental, multicenter, randomized controlled trial",,,,10.1016/j.spinee.2022.12.002,True,2-s2.0-85145743670,2023.0
#066,Escuela de Medicina,2023,"Letter to the Editor Concerning the Article: «Wound drain in lumbar arthrodesis for degenerative disease: an experimental, multicenter, randomized controlled trial 2023 Spine J.",,,,10.1016/j.spinee.2023.09.031,True,2-s2.0-85182999283,2024.0
#067,Escuela de Medicina,2023,Tromboembolismo Pulmonar En Pacientes Con COVID-19: Descripción De Una Cohorte En Un Hospital Terciario Chileno.,,,,10.55720/respirar.15.4.2,False,,
#068,Escuela de Medicina,2023,A Dysconnectivity in Schizophrenia Revisited: Abnormal Temporal Organization of Dynamic Functional Connectivity in Patients With a First Episode of Psychosis,,,,10.1093/schbul/sbac187,True,2-s2.0-85159544230,2023.0
#069,Escuela de Medicina,2023,Estimation of PaCO2 by capnometry after a 3’’ inspiratory hold in mild to moderate Pediatric Acute Respiratory Distress Syndrome: a feasibility study.,,,,10.1002/ppul.26610,True,2-s2.0-85168588193,2023.0
#070,Escuela de Medicina,2023,Experiencia en COVID-19 en pacientes hospitalizados en unidades de paciente crítico pediátrico durante el periodo pandémico,,,,10.32641/andespediatr.v94i5.4527,False,,
#071,Escuela de Medicina,2023,Hipoxia e hipersensibilidad de tipo IV: patogenia dual en reacciones a implantes de cadera,,,,10.1055/s-0043-1760860,False,,
#072,Escuela de Medicina,2023,La extubación durante la noche no se asocia con su fracaso en pacientes pediátricos de Unidad de Cuidados Intensivos: Estudio de cohorte retrospectivo.,,,,10.32641/andespediatr.v94i5.4583,True,2-s2.0-85174916359,2023.0
#073,Escuela de Medicina,2023,"Caso clínico: Le Grand Mort: la tríada, o más bien orgía, de Virchow que acabó en muerte",,,,10.1016/j.rmclc.2023.07.004,True,2-s2.0-85165942931,2023.0
#074,Escuela de Medicina,2023,Left ventricular pseudoaneurysm in left ventricular aneurysm,,,,10.52768/2766-7820/2545,False,,
#075,Escuela de Medicina,2023,The incidence of non-affective psychotic disorders in low and middle-income countries: a systematic review and meta-analysis,,,,10.1007/s00127-022-02397-6,True,2-s2.0-85144656709,2023.0
#001,Escuela de Medicina,2022,Regulation of the Intestinal Extra-Adrenal Steroidogenic Pathway Component LRH-1 by Glucocorticoids in Ulcerative Colitis.,,,,10.3390/cells11121905,False,,
#002,Escuela de Medicina,2022,The role of cholesterol and mitochondrial bioenergetics in activation of the inflammasome in IBD.,,,,10.3389/fimmu.2022.1028953,False,,
#003,Escuela de Medicina,2022,Antibiotic-Resistant Bacteria in Environmental Water Sources from Southern Chile: A Potential Threat to Human Health,,,,10.3390/microbiolres14040121,True,2-s2.0-85180712015,2023.0
#004,Escuela de Medicina,2022,Exploring the lutein therapeutic potential in steatotic liver disease: mechanistic insights and future directions.,,,,10.3389/fphar.2024.1406784,True,2-s2.0-85197695723,2024.0
#005,Escuela de Medicina,2022,Pannexin-1 expression in tumor cells correlates with colon cancer progression and survival.,,,,10.1016/j.lfs.2024.122851,True,2-s2.0-85196542544,2024.0
#006,Escuela de Medicina,2022,Liver X receptor unlinks intestinal regeneration and tumorigenesis.,,,,10.1038/s41586-024-08247-6,True,2-s2.0-85209738764,2025.0
#007,Escuela de Medicina,2022,Intragastric administration of short chain fatty acids greatly reduces voluntary ethanol intake in rats.,,,,10.1038/s41598-024-80228-1,True,2-s2.0-85210151018,2024.0
#008,Escuela de Medicina,2022,Tratamiento de sobrecrecimiento bacteriano en el intestino delgado de pacientes chilenos con síndrome de intestino irritable: un estudio prospectivo y comparativo,,,,10.1016/j.rgmx.2024.08.004,True,2-s2.0-105001077196,2025.0
#009,Escuela de Medicina,2022,The Role of Cellular Senescence in Endothelial Dysfunction and Vascular Remodeling in Arteriovenous Fistulas maturation”(aceptado),,,,,False,,
#001,Escuela de Medicina,2021,Clinical and molecular characterization of Chilean patients with X-linked hypophosphatemia,,,,,False,,
#002,Escuela de Medicina,2021,Concurrencia de encefalitis diseminada aguda en lactante con Síndrome inflamatorio multisistémico asociado a infección por SARS-CoV-2,,,,,False,,
#003,Escuela de Medicina,2021,Curva de aprendizaje para el diagnóstico ecográfico específico de masas anexiales,,,,,False,,
#004,Escuela de Medicina,2021,Changes in Cannabis Consumption During the Global COVID-19 Lockdown: The International COVISTRESS Study,,,,,False,,
#005,Escuela de Medicina,2021,Dysregulated immune responses in COVID-19 patients correlating with disease severity and invasive oxygen requirements,,,,,False,,
#006,Escuela de Medicina,2021,Implementación de sistema de comando de incidentes para enfrentar pandemia SARS-COV-2 en clínica las condes,,,,,False,,
#007,Escuela de Medicina,2021,Insuficiencia Ovárica Primaria en Adolescentes: Revisión de la literatura a propósito de un caso clínico,,,,,False,,
#008,Escuela de Medicina,2021,Improvement in immune dysfunction after FOLFOX chemotherapy for Stage III colon cancer is associated with improved minimal residual disease prognostic subtype and outcome,,,,,False,,
#009,Escuela de Medicina,2021,"In-Hospital Acute Ischemic Stroke is Associated with Worse Outcome: Experience of a Single Center in Santiago Chile” Brunser A, Navia V V, Araneda P, Mazzon E, Muñoz P, Cavada G, Olavarría VV, Lavados PM. J Stroke Cerebrovasc Dis. 2021; 30: 105894.",,,,,False,,
#010,Escuela de Medicina,2021,Immune Dysfunction as Measured by the Systemic Immune-Inflammation Index is Associated with the Sub-Type of Minimal Residual Disease and Outcome in Stage II Colon Cancer Treated with Surgery alone,,,,,False,,
#011,Escuela de Medicina,2021,Validación de la versión en español de un instrumento de evaluación de la comunicación centrada en el paciente en OSCE,,,,,False,,
#012,Escuela de Medicina,2021,Functional Dysconnectivity in Ventral Striatocortical Systems in 22q11.2 Deletion Syndrome,,,,,False,,
#013,Escuela de Medicina,2021,"Gender, age and geographical representation over the past 50 years of schizophrenia research",,,,,False,,
#014,Escuela de Medicina,2021,Clinical and organizational framework of repurposing pediatric intensive care unit to adult critical care in a resource-limited setting: Lessons from the response of an urban general hospital to the COVID-19 pandemic,,,,,False,,
#015,Escuela de Medicina,2021,The structural and functional importance of the thalamus in migraine processes with and without aura. A literature review,,,,,False,,
#016,Escuela de Medicina,2021,Comparison of Interleukin-6 Plasma Concentration in Multisystem Inflammatory Syndrome in Children Associated With SARS-CoV-2 and Pediatric Sepsis,,,,,False,,
#017,Escuela de Medicina,2021,Hacia un modelo de atención en salud para el siglo XXI: breve historia del modelo de atención integrada en Chile,,,,,False,,
#018,Escuela de Medicina,2021,Therapeutic plasma exchange in critically ill children: experience of the pediatric intensive care unit of two centers in Chile,,,,,False,,
#019,Escuela de Medicina,2021,Desafíos de la utilización de las Guías Pediátricas Internacionales 2020 de la Campaña Sobreviviendo a la Sepsis en contextos de recursos limitados: Una visión del mundo real más allá de la academia,,,,,False,,
#020,Escuela de Medicina,2021,Global Respiratory Syncytial Virus–Related Infant Community Deaths,,,,,False,,
#021,Escuela de Medicina,2021,"A randomized clinical trial to assess the effectiveness of pre- and post-surgical pelvic floor physiotherapy for bowel symptoms, pelvic floor function, and quality of life of patients with rectal cancer: CARRET protocol",,,,,False,,
#022,Escuela de Medicina,2021,Immune Dysfunction as Measured by the Systemic Immune-Inflammation Index is Associated with the Sub-Type of Minimal Residual Disease and Outcome in Stage II Colon Cancer Treated with Surgery alone,,,,,False,,
#023,Escuela de Medicina,2021,Cobertura de partes blandas del Pulgar. Guía en la toma de decisiones,,,,,False,,
#024,Escuela de Medicina,2021,Impacto en el patrón de atención en Cirugía de Cabeza y Cuello y las medidas sanitarias adoptadas durante los primeros 150 días de la era COVID-19,,,,,False,,
#025,Escuela de Medicina,2021,Inhaled nitric oxide and prone position as a rescue therapy for severe hypoxemia in an infant with COVID-19 pneumonia,,,,,False,,
#026,Escuela de Medicina,2021,The structural and functional importance of the thalamus in migraine processes with and without aura. A literature review,,,,,False,,
#027,Escuela de Medicina,2021,Pericarditis posterior a la administración de vacuna mRNA contra COVID-19,,,,,False,,
#028,Escuela de Medicina,2021,Airway Management of Critically Ill Pediatric Patients with Suspected or Proven Coronavirus Disease 2019 Infection: An Intensivist Point of View,,,,,False,,
#029,Escuela de Medicina,2021,How COVID-19 pandemic influenced non-formal education digital transformation – SLAOTI experience,,,,,False,,
#030,Escuela de Medicina,2021,"The human-specific duplicated α7 gene inhibits the ancestral α7, negatively regulating nicotinic acetylcholine receptor-mediated transmitter release",,,,,False,,
#031,Escuela de Medicina,2021,Ultrasound Imaging of Nevus Sebaceous of Jadassohn,,,,,False,,
#032,Escuela de Medicina,2021,"Analgesia, sedation, neuromuscular blockade and delirium management practices in Chilean intensive care units",,,,,False,,
#033,Escuela de Medicina,2021,En época de COVID-19: ¿cómo las estrategias de recuperación avanzadas (STAR) pueden ayudar a dar soluciones a los pacientes oncológicos?,,,,,False,,
#034,Escuela de Medicina,2021,Chemical composition analysis of 649 urinary stones,,,,,False,,
#035,Escuela de Medicina,2021,Treatment of Hodgkin disease relapse after allogeneic transplantation with nivolumab. Report of two cases,,,,,False,,
#036,Escuela de Medicina,2021,An update on parathyroid carcinoma,,,,,False,,
#037,Escuela de Medicina,2021,Ileocolic Intussusception Related to Cecum Adenocarcinoma: Case Report,,,,,False,,
#038,Escuela de Medicina,2021,Implementation of early psychosis services in Latin America: A scoping review,,,,,False,,
