eid,detectada_por_el_proyecto,atribuida_por_openalex,rors_en_openalex,tipo,severidad,consecuencia,resolucion,fecha_consulta
2-s2.0-105007197288,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105007847416,True,False,018906e22 | 01aj84f44 | 02crff812 | 040r8fr65 | 057w15z03,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105010226179,True,False,00j5bwe91 | 02zhqgq86 | 04teye511 | 05crjpb27,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105010261920,True,False,0166e9x11 | 01hrxxx24 | 038j0b276 | 04vdpck27 | 0589fsc66,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105011376001,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105011383287,True,False,02vbtzd72 | 040cnym54 | 04teye511 | 05ect4e57,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105011526303,True,False,00nqz4988 | 01jp7k726 | 02d9dg697 | 03f6y4g19,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105012890637,True,False,001w7jn25 | 00bq4rw46 | 00j5bwe91 | 00rqy9422 | 00xmtrb24 | 00za53h95 | 012jban78 | 0161xgx34 | 016bjqk65 | 016gd3115 | 016mey390 | 01d5vx451 | 01d86hn60 | 01esghr10 | 021e5j056 | 02218z997 | 026pg9j08 | 0270xt841 | 02cetwy62 | 02en5vm52 | 02mh9a093 | 02x4b0932 | 037zgn354 | 03ba28x55 | 03dbr7087 | 03gzbrs57 | 03r0ha626 | 03tc05689 | 03xjacd83 | 044t4x544 | 04cpxjv19 | 04ehjr030 | 04fwa4t58 | 04teye511 | 04y2hdd14 | 051escj72 | 051fd9666 | 05e56c835 | 05nd26619 | 05p52kj31 | 05r2g1b90,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105012964277,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105014254129,True,False,03mt12903 | 03v0qd864 | 047gc3g35 | 04dr2j587 | 04s1kgp90 | 04teye511,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105015299960,True,False,00h9jrb69 | 028ynny55 | 02bfwt286 | 02cafbr77 | 02t1bej08 | 04bpsn575 | 04teye511 | 05y33vv83,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105017992313,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105018969990,True,False,01aj84f44 | 035b05819 | 040r8fr65 | 0435rc536,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105019256759,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105021421573,True,False,012pnb193 | 01pp0fx48 | 04nvpdc40,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105024529012,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105027067369,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105032964720,True,False,000kjq947 | 034zgem50,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105033394702,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105033633263,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105034527029,True,False,05t8bcz72,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105034853792,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105034890639,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-105035057887,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85145641767,True,False,00krbh354 | 0145fw131 | 014p6mg26 | 019yg0716 | 01a8ajp46 | 01t4k8953 | 02feahw73 | 02ma4wv74 | 02q1spa57 | 02rx3b187 | 02tcf7a68 | 035fsmk47 | 035xkbk20 | 04gqg1a07 | 04w3d2v20 | 04w9mdw91 | 05h9t7759 | 05n5mpz07,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85150044031,True,False,00gv7aj90,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85152245530,True,False,0326knt82,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85158982455,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85160453519,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85166670201,True,False,05x7k6a83,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85167666524,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85171607670,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85172361519,True,False,03n6nwv02,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85173961286,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85182999283,True,False,028ynny55,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85190421197,True,False,01wjejq96 | 02crff812 | 047gc3g35,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85190757150,True,False,02cafbr77,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85193919687,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85194527504,True,False,034pbde03 | 03vqjtg68,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85196187514,True,False,03v0qd864 | 047gc3g35,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85196502487,True,False,04teye511,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85198732308,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85198825082,True,False,02ap3w078 | 047gc3g35,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85199188575,True,False,01s4gpq44,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85201715298,True,False,00xzzba89 | 02crff812 | 02vjkv261 | 057qpr032,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85204486796,True,False,047gc3g35 | 04s1kgp90,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85205237878,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85207274444,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85207350071,True,False,00j5bwe91 | 01p3tpn79 | 04teye511,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85209811590,True,False,00x0xhn70,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85211195998,True,False,02crff812,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85215378071,True,False,003mpdt17 | 04jrwm652 | 052g8jq94,V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85216253641,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85216908541,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-85217317761,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
2-s2.0-86000144898,True,False,(ninguno),V2-19_openalex_no_atribuye_la_institucion,media,"o OpenAlex no desambiguó la afiliación, o la detección blanda de este proyecto es demasiado laxa",PENDIENTE_REVISION_HUMANA,2026-08-26
