"Donoso-Troncoso, Silvia","57210842814","1","Medicine
"
"Josefa Valenzuela, S.","57604475400","1","Medicine
"
"Cortés-Sylvester, María F.","57190019039","3","Medicine
Dentistry
"
"Cruz, Dianelys Herrada De La","59976565800","1","Medicine
"
"Rojas, Marcos","57544711400","1","Medicine
"
"Bugueño, Rodrigo Andrés Poyanco","57221380459","6","Social Sciences
","0000-0001-7767-6760"
"Morales-Sepulveda, Juan Pablo","57194732185","2","Psychology
Medicine
"
"Bassa, Joan Cristóbal","59011669500","1","Medicine
"
"González-Montero, Jaime","57194288033","16","Medicine
Biochemistry, Genetics and Molecular Biology
Chemistry
Pharmacology, Toxicology and Pharmaceutics
Computer Science
Chemical Engineering
"
"Matthews, Paula Gajardo","59303579700","2","Energy
Environmental Science
Social Sciences
"
"Pinto C, Mauricio","57221498612","1","Medicine
"
"Soto, Leonardo","57194392189","14","Medicine
","0000-0002-0829-8767"
"Verschae, Gregorio","7801439873","5","Medicine
"
"Ramirez, Pablo","59866075000","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Scarleth, Jara C.","57981418900","1","Medicine
"
"Patricio Herane, C.","58117984900","1","Medicine
"
"Cruzat, Josefina Calvo","58809478600","1","Medicine
"
"Santibañez, David P.","57194413591","20","Social Sciences
Agricultural and Biological Sciences
Arts and Humanities
Mathematics
","0000-0001-7840-9138"
"Tiscornia, Caterina","58290236200","8","Medicine
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Chemistry
Nursing
Computer Science
Chemical Engineering
","0000-0002-0138-083X"
"Santander, Arturo Salazar","58993042300","3","Arts and Humanities
Social Sciences
"
"Pau, Paulina Montenegro","57218369658","1","Arts and Humanities
Computer Science
Social Sciences
"
"Río, María Paz Del","57798367700","1","Psychology
Social Sciences
"
"Benites, Martin H.","56204920800","13","Medicine
Nursing
Social Sciences
"
"González, Cristopher","57211657886","1","Medicine
"
"Crisóstomo-Flores, Paz","60512376600","1","Social Sciences
"
"Gómez-Barbieri, Gustavo","57223157908","3","Medicine
Nursing
"
"Araneda, Sergio","55974058100","1","Engineering
Social Sciences
"
"Sanhueza, María Carolina","35776964900","1","Arts and Humanities
Social Sciences
","0000-0003-3705-1613"
"Letelier Widow, Gonzalo Letelier","56976276800","10","Arts and Humanities
Social Sciences
","0000-0002-1625-2216"
"Bader, Dusan","57488667500","1","Medicine
"
"García-Meneses, Cristian","59676955500","1","Social Sciences
Health Professions
Medicine
"
"Simón, Layla Y.","55554207700","30","Biochemistry, Genetics and Molecular Biology
Medicine
Agricultural and Biological Sciences
Nursing
Chemistry
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Immunology and Microbiology
Computer Science
Chemical Engineering
","0000-0002-0130-3519"
"Tapia, Ignacio","58640189700","1","Economics, Econometrics and Finance
Business, Management and Accounting
"
"Schiffrin, Nicolás Cattarinich","58191397100","1","Medicine
Nursing
"
"Zamorano Arancibia, Alejandro","55887094000","1","Medicine
Social Sciences
"
"Aguilera, Maria Paz","57221078032","1","Health Professions
Medicine
"
"Schüler, Constanza","57542936700","1","Medicine
"
"Casals-Hill, Andrea","57209027307","10","Arts and Humanities
Computer Science
Environmental Science
Energy
Social Sciences
"
"Gómez, Gustavo G.","58979787500","2","Medicine
"
"Jesam, Francisca","57218860373","1","Medicine
Health Professions
"
"Letelier, Francisca","57216258821","6","Medicine
Neuroscience
"
"Vargas-Foitzick, Ronald A.","57193330214","4","Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
Multidisciplinary
Agricultural and Biological Sciences
"
"Massa, Angela Arenas","56087752400","9","Social Sciences
Arts and Humanities
Economics, Econometrics and Finance
Medicine
"
"Gutiérrez, Constanza","57204140115","1","Medicine
"
"Lehmann, Rodrigo Barcia","24923293900","23","Social Sciences
Arts and Humanities
Medicine
Psychology
","0000-0003-1021-446X"
"Castillo, Oscar","60129542700","1","Agricultural and Biological Sciences
Nursing
"
"Valenzuela L, Gonzalo","58242928700","1","Medicine
"
"Vallejos P, Gabriel","58242038500","1","Medicine
"
"Nickel, Rolf","57219782837","1","Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
"
"Gonzalez, Agustín","57212859143","1","Medicine
"
"Fernández, Rosario","57205691638","1","Medicine
"
"Gazitúa-Harmsen, R.","57192103637","1","Medicine
"
"Allende-Valenzuela, Tamara","59321456000","2","Psychology
Arts and Humanities
Social Sciences
Health Professions
Neuroscience
"
"Trautmann, Daniela","59217677000","1","Agricultural and Biological Sciences
Medicine
Nursing
"
"Aravena, Simona Canepa","60015327100","2","Social Sciences
"
"Toledo-Villegas, Karina","57368046100","2","Medicine
"
"Araya-Quezada, Cristóbal","57223144816","2","Medicine
Nursing
"
"Raimundo Avilés, D.","57224813068","1","Medicine
"
"Cancino-López, Jorge","36996964200","39","Medicine
Nursing
Health Professions
Biochemistry, Genetics and Molecular Biology
Social Sciences
Agricultural and Biological Sciences
Computer Science
Environmental Science
Arts and Humanities
Chemical Engineering
Physics and Astronomy
Engineering
Materials Science
Multidisciplinary
"
"Schlageter, Fabiola","58752140500","1","Medicine
"
"Cubillos Torres, María Constanza","58496356600","1","Social Sciences
"
"Troncoso, María Pía","57410054400","1","Medicine
"
"Fritsch Medina, Andrea","55944907600","1","Medicine
"
"Vidal, Martín","57200798746","3","Medicine
"
"Eliana Escudero, Z.","36801531100","2","Medicine
"
"Vásquez, Alberto","60418478800","1","Medicine
Immunology and Microbiology
"
"Natalia, Castillo V.","57197796758","1","Medicine
"
"Gálvez M, Marcelo","24339987800","45","Medicine
Engineering
Neuroscience
Computer Science
Mathematics
Physics and Astronomy
Multidisciplinary
Psychology
Arts and Humanities
Materials Science
Chemical Engineering
"
"Contreras E, Ilse","15830985700","6","Medicine
"
"Edson Bustos, Arriagada","57217258988","1","Agricultural and Biological Sciences
Nursing
Medicine
"
"Muñoz, Vicente Alfonso Guzmán","57982176300","1","Economics, Econometrics and Finance
"
"de Berduccy, Sandra D.","57226645190","2","Computer Science
Arts and Humanities
Engineering
"
"Parra N, Marcelo","55840378500","8","Medicine
"
"Gubbins, Verónica","57188672913","17","Social Sciences
Medicine
Psychology
Computer Science
Immunology and Microbiology
Health Professions
"
"Martínez Galdames, Bernardita","59508489400","1","Medicine
"
"Palma, Gerardo","59559237700","1","Medicine
"
"Avendaño, Bárbara Symmes","60118085600","2","Arts and Humanities
"
"Guevara, Esnil","57217022028","4","Engineering
Social Sciences
Environmental Science
Energy
Computer Science
Business, Management and Accounting
Materials Science
"
"Granic, X.","15118911300","2","Medicine
Dentistry
"
"Muñoz-Garcés, Melissa","60224784300","1","Medicine
Health Professions
"
"Santos, Manuel","60389552400","1","Medicine
"
"Ponce, Nicolas","60235144400","1","Dentistry
"
"Vargas, Miguel","59852211600","7","Psychology
Social Sciences
Economics, Econometrics and Finance
Environmental Science
Business, Management and Accounting
"
"Troncoso, Felipe","60544972100","1","Medicine
Nursing
Biochemistry, Genetics and Molecular Biology
"
"Bustos-Muñoz, David","60630239800","1","Arts and Humanities
Social Sciences
"
"Lomboy Finsterbusch, Maven Ingebor","60090327500","1","Social Sciences
"
"Martínez, Maripaz","56499734000","6","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
"
"Benavente, Roberto","36132757700","1","Arts and Humanities
Engineering
"
"Reinike, Beatriz Wrann","57223034338","1","Health Professions
Arts and Humanities
"
"Sandoval, Pier Paolo Pigozzi","59032333000","1","Medicine
"
"Salas-Guzmán, Natalia","57193774407","9","Social Sciences
Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Psychology
Agricultural and Biological Sciences
Neuroscience
"
"Bäuerle, Nicolás Eyzaguirre","58147724600","1","Multidisciplinary
"
"Escanilla, Felipe A.","57204656881","1","Medicine
Health Professions
"
"Astudillo, Javier","57189054939","1","Medicine
Health Professions
"
"Botto Stuven, Andrea","59540906500","1","Arts and Humanities
Social Sciences
"
"Velasco, Adriana","57223870251","1","Social Sciences
Psychology
"
"Coronel Cárdenas, Daniela","57224138326","1","Medicine
"
"Cortés, M. F.","57206131674","1","Medicine
"
"Errázuriz, Andrés Más","57072823100","2","Arts and Humanities
Engineering
"
"Martínez, Mónica M.","58088132900","2","Medicine
"
"Guzmán Zuluaga, Carmen","57205267264","1","Medicine
"
"Medina, Cristóbal Aguilera","57219149697","2","Social Sciences
"
"Covarrubias C, Patricio","59680859000","1","Medicine
"
"Bustamante, Alvaro","57760310700","1","Medicine
Health Professions
"
"Peña, Felipe Zamorano","60744745200","1","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Peragallo, Javier","58751901700","1","Medicine
"
"Lobos, Evelyng Faure","60541175300","1","Medicine
"
"Montero, Valentina","57214681999","8","Computer Science
Arts and Humanities
Social Sciences
Engineering
"
"Díaz N, Victor Patricio","35769036500","1","Agricultural and Biological Sciences
Nursing
"
"González, Jorge H.","59241782800","1","Medicine
"
"Tuñón-Suárez, Mauro","57222561030","8","Biochemistry, Genetics and Molecular Biology
Medicine
Health Professions
Multidisciplinary
"
"Pacheco, Loreto","57216706091","1","Medicine
"
"Lomboy, Maven","59366525500","1","Social Sciences
"
"Conejero R, Alejandro","59681370400","1","Medicine
"
"Castillo, Luis Pedraza","59976624400","1","Medicine
"
"Conti Donoso, Francesca","60036184300","1","Agricultural and Biological Sciences
Nursing
"
"Moya, Patricia","57767862900","6","Medicine
Dentistry
"
"González-Hernández, Jorge","59867109100","1","Medicine
"
"Teresa, P. Vernal Vilicic","57192183384","1","Business, Management and Accounting
Energy
Earth and Planetary Sciences
Engineering
Agricultural and Biological Sciences
Computer Science
"
"Ubierna, Daniza Belén Bilicic","58190862500","2","Medicine
Nursing
"
"Uribe Blanco, Laura","55945039000","1","Medicine
"
"Morales, Romina","57542570300","1","Medicine
"
"Garnham, Nicolas","57544361300","1","Medicine
"
"Carvajal, Gustavo","57219929230","9","Arts and Humanities
Social Sciences
"
"Parra-Novoa, Marcelo Felipe","57268179100","1","Medicine
"
"Hurtado D, María José","59682375400","1","Medicine
"
"Jannas, Sebastian","57204783162","1","Health Professions
Medicine
"
"Hosiasson S, Stefan","6505584861","2","Medicine
"
"Heras, Álvaro A.","55130336400","2","Medicine
"
"Navarro, Mauricio Lorca","54992570800","1","Medicine
"
"Undurraga, Rosario","55345490200","16","Social Sciences
Arts and Humanities
Psychology
Business, Management and Accounting
Agricultural and Biological Sciences
"
"Cristián Valenzuela, H.","57220103033","1","Medicine
"
"Gallardo, Pedro A.","6602694259","11","Medicine
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Earth and Planetary Sciences
"
"Espíldora, Francisco","57199336826","2","Computer Science
Chemical Engineering
Engineering
Medicine
Health Professions
"
"Jofré Bartholin, Matías","58782103100","1","Immunology and Microbiology
Medicine
Biochemistry, Genetics and Molecular Biology
"
"Kemeny, Rodrigo","58861387600","1","Medicine
"
"Duhalde, Gisaku Kuramochi","57190219382","1","Medicine
"
"Soto, Mauricio","57613682900","6","Medicine
"
"Torres, Paola","57200126721","13","Medicine
Health Professions
"
"Celis, Francisca Ávila","60763108900","1","Social Sciences
"
"Galleguillos, Renato B.","36025215000","11","Physics and Astronomy
Chemistry
Computer Science
Chemical Engineering
Medicine
Mathematics
Engineering
Earth and Planetary Sciences
Environmental Science
Decision Sciences
Energy
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
","0000-0001-6065-5218"
"Díaz, Víctor Patricio","57198109585","2","Medicine
Health Professions
"
"de Souza Costa, Denise","58310249200","1","Psychology
Arts and Humanities
Social Sciences
Medicine
"
"Arancibia, Alejandro Zamorano","51663310000","3","Medicine
"
"Mardónez, Mónica Martínez","59487034200","1","Medicine
"
"Valverde, Cristián","7005468216","8","Medicine
Engineering
Materials Science
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
"
"Cayu, Ester","59402883300","1","Medicine
"
"Dávila, Camila Moyano","57189218355","1","Social Sciences
Arts and Humanities
Psychology
"
"Contreras-Contreras, Gabriela","58508426800","4","Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Chemistry
Environmental Science
","0009-0001-7376-4656"
"Silva, Ignacio Muñoz","59781031500","1","Arts and Humanities
Social Sciences
"
"Marchese-Bittencourt, M.","59188418600","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Díaz, F. R.","35195498000","100","Medicine
Multidisciplinary
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
","0000-0003-4763-074X"
"Fischer, M.","56317449800","1","Health Professions
"
"Castillo-Valenzuela, Óscar A.","7007101727","51","Medicine
Agricultural and Biological Sciences
Nursing
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Chemistry
Multidisciplinary
Neuroscience
Immunology and Microbiology
Arts and Humanities
"
"Godoy, Iván","57201457270","1","Arts and Humanities
"
"Spencer Araya, Lucas","55944586400","1","Medicine
"
"Torres, Keila","60596438800","4","Medicine
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Nursing
Immunology and Microbiology
"
"Bittner, Sandra","57224068372","2","Medicine
Psychology
Social Sciences
"
"Contreras Valeria, Carla","59164865800","1","Medicine
Social Sciences
"
"Henríquez, Cristóbal","60174074000","1","Medicine
Biochemistry, Genetics and Molecular Biology
Neuroscience
"
"Gálvez, Valentina","60570577500","1","Medicine
"
"Mariolly Gutiérrrez, R.","57207818014","2","Medicine
"
"Ojeda, Hugo","57214667412","1","Medicine
"
"Casas-Cordero, Juan Pablo","58289166700","3","Medicine
"
"Miranda, Francisca","58565414000","1","Social Sciences
"
"Tavera, Andres Tellez","58521750000","2","Arts and Humanities
Social Sciences
Engineering
"
"Díaz-Galaz, Lorena","59351091000","1","Social Sciences
"
"Gonzalez-Valderrama, Alfonso A.","56586062200","36","Medicine
Neuroscience
Psychology
Chemistry
Biochemistry, Genetics and Molecular Biology
Computer Science
Nursing
Multidisciplinary
Social Sciences
Chemical Engineering
"
"Hevia, Daniel","53263869700","8","Medicine
Biochemistry, Genetics and Molecular Biology
Chemistry
Immunology and Microbiology
Computer Science
Chemical Engineering
"
"Hartmann Schatloff, Dan","58612624500","28","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
","0000-0002-7140-4294"
"Fernández Abara, Joaquín Fernández","57190811072","7","Arts and Humanities
Social Sciences
Economics, Econometrics and Finance
","0000-0001-8190-2361"
"García, Javiera","59256319400","4","Medicine
Nursing
Social Sciences
"
"Val, Valentín","59560241600","1","Medicine
"
"Arias, Marisol","57214727765","1","Nursing
"
"Barrientos, Javiera","59358068200","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Maya, Javiera","57189353042","1","Medicine
Health Professions
"
"Rego, Thomas","58179849100","6","Arts and Humanities
Social Sciences
","0000-0003-2271-4568"
"Quezada, Mauricio","60138063800","1","Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
"
"Opitz, Tania","55035643200","10","Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Environmental Science
Medicine
Earth and Planetary Sciences
","0000-0001-9639-4267"
"Fermín-González, Marlene","57214888416","4","Social Sciences
Psychology
","0000-0003-1050-7799"
"Ahumada, Fabian","58805031100","1","Agricultural and Biological Sciences
Immunology and Microbiology
Social Sciences
Health Professions
"
"Oses, Darío","54903810200","8","Arts and Humanities
"
"Jennifer Green, M.","57413520000","1","Medicine
"
"González, Caterina Tiscornia","57755338400","1","Medicine
"
"Hinostroza, Cristofer","58060980100","2","Computer Science
"
"Rivera-Tovar, Pamela Raquel","57207760909","6","Chemistry
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Agricultural and Biological Sciences
Medicine
"
"Márquez-Tuohy, J.","57192107808","1","Medicine
"
"Carrasco, Catalina Velásquez","57211352385","1","Engineering
Social Sciences
"
"López Figueroa, Manola Del Carmen","57209198360","1","Health Professions
Nursing
"
"Gaete, Marcia","8341795800","20","Biochemistry, Genetics and Molecular Biology
Medicine
Agricultural and Biological Sciences
Neuroscience
Dentistry
","0000-0003-1846-2417"
"Dougnac, Alberto","58460988900","5","Medicine
"
"Lorca, Enrique","60418925600","1","Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
"
"Quintana, Felipe","57199151555","1","Medicine
"
"Ruz A, Maxy","57195137061","2","Medicine
Nursing
"
"D’andurain, Javiera","58290050500","1","Agricultural and Biological Sciences
Nursing
"
"Carrasco Purull, Gonzalo","57211151423","8","Arts and Humanities
Engineering
Social Sciences
"
"Flores, Elías Y.","57191074050","2","Medicine
"
"Assadi, Felipe","26640972700","3","Engineering
Arts and Humanities
Social Sciences
"
"Aguilera E, Gabriela","35182432400","1","Agricultural and Biological Sciences
Nursing
"
"Serrano, María José","58743009800","1","Medicine
"
"Reccius-Meza, Andrés","59975384800","1","Medicine
"
"Ana María Pacheco, F.","57220105643","1","Medicine
"
"Cisternas-Zamora, Leonardo Andrés","60109098900","1","Social Sciences
"
"Martínez-Jalilie, Maripaz","57210556023","4","Medicine
Neuroscience
"
"Carla Montiel, G.","57224831029","1","Medicine
"
"Sepúlveda, Juan Pablo Morales","57132295800","3","Medicine
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Psychology
Neuroscience
"
"Caamaño, Matías","57322564200","1","Business, Management and Accounting
Psychology
"
"Melillán, Ignacio Schrader","57212217497","1","Medicine
"
"Saúl, Maria José","58162095800","1","Agricultural and Biological Sciences
Nursing
"
"Ladrón-De-Guevara, David","6508330084","4","Medicine
Nursing
"
"Amarouch García, Ismael Amarouch","57339772200","6","Engineering
Arts and Humanities
Social Sciences
Environmental Science
","0000-0003-2444-8179"
"Torrealba, Felipe Pavez","58545865400","2","Social Sciences
Energy
Environmental Science
"
"Flores, Paula","60758419100","1","Social Sciences
Computer Science
Health Professions
Psychology
"
"Ibáñez-Muñoz, Rosa Carmen","58884093400","2","Arts and Humanities
Social Sciences
"
"Hidago-Rosa, Yoan","58318003300","1","Materials Science
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Medicine
"
"Jeria-Espinoza, Valentina","60130836200","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Valencia, Isabel","58484866100","1","Arts and Humanities
Social Sciences
"
"Coloma, Cristobal Ruiz Tagle","60252206800","1","Social Sciences
Medicine
"
"Yévenes, Ana Maria","57196438155","1","Arts and Humanities
Psychology
Computer Science
"
"Kompatzki, Alvaro","6506484240","8","Medicine
"
"Letelier, Rodrigo G.","57201670100","1","Medicine
"
"Bulboa, Romaneth Arratia","51663332400","1","Medicine
"
"Giglio, Andrés","58509256700","45","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Nursing
Pharmacology, Toxicology and Pharmaceutics
Economics, Econometrics and Finance
Environmental Science
Social Sciences
Health Professions
Agricultural and Biological Sciences
","0000-0002-0533-4531"
"Becker, Javiera","57212192551","1","Psychology
Social Sciences
"
"Donoso, Tomás Felipe","56472732800","2","Medicine
Dentistry
"
"de Vos, Víctor","59559833500","1","Medicine
"
"Quinteros, Katherine","60792617400","2","Arts and Humanities
"
"Méndez, Natalia","57224137611","1","Medicine
Nursing
"
"Esis Villarroel, Ivette S.","57458483800","14","Social Sciences
Arts and Humanities
","0000-0002-2379-8380"
"Maya, Luis","56711056000","1","Health Professions
Medicine
"
"Stöwhas, Katherine","59196420300","2","Medicine
"
"Castro, Catalina","58061028700","2","Computer Science
"
"Mena, Cristián","59978860300","1","Medicine
Neuroscience
"
"Godoy, Emily L.","58540573400","3","Medicine
Nursing
"
"Bustamante, Carlos","56448239400","1","Engineering
Social Sciences
"
"Martínez M, Mónica","55830570200","5","Medicine
"
"Verdejo Bravo, Nicolás","57204144392","1","Arts and Humanities
Engineering
"
"Ossa-Cox, Matías","58555985000","2","Medicine
","0009-0006-4778-3235"
